From_Bus;To_Bus;Transmission_Capacity;Reactance
3;1;1000;0.052
1;5;800;0.006
7001;1;1000;0.01953
3;2;1000;0.052
2;6;800;0.00900
2;8;800;0.02700
7002;2;1500;0.01460
3;4;1500;0.00500
3;7;800;0.00300
3;19;800;0.06900
3;150;800;0.00700
7003;3;2000;0.01054
4;16;1500;0.01900
7;5;1000;0.03900
5;9;800;0.02900
7;6;1000;0.03900
7;12;800;0.00900
7;131;800;0.00700
8;11;200;0.05950
8;14;800;0.04200
9;11;200;0.02700
10;11;1000;0.08900
12;10;1000;0.05300
11;13;800;0.03400
7011;11;1000;0.01923
12;21;800;0.01500
7012;12;1500;0.03120
13;20;200;0.03400
14;15;800;0.04200
16;15;1000;0.03800
15;17;1000;0.03110
15;37;200;0.24800
15;89;200;0.24800
15;90;200;0.36300
16;42;800;0.02200
7017;17;1000;0.01654
19;21;200;0.01800
19;87;800;0.08000
21;20;1000;0.01400
20;22;200;0.03300
20;27;200;0.18600
21;24;800;0.03400
22;23;800;0.11100
24;23;1000;0.06400
23;25;800;0.03900
7023;23;1000;0.02300
24;319;800;0.06800
7024;24;1000;0.02890
25;26;200;0.07100
26;27;200;0.12000
26;320;200;0.13000
33;34;1000;0.06300
33;38;200;0.01200
33;40;200;0.02900
33;41;200;0.04300
34;42;800;0.00800
36;35;1000;0.04700
35;72;200;0.06000
35;76;800;0.01400
35;77;200;0.02900
36;88;800;0.02700
37;38;200;0.04700
37;40;200;0.06400
37;41;200;0.03600
37;49;800;0.08100
37;89;200;0.25400
37;90;200;0.12700
37;9001;1000;0.00046
38;41;800;0.03700
38;43;200;0.08700
39;42;1000;0.00640
7039;39;1000;0.03159
40;48;200;0.15400
41;42;1000;0.02900
41;49;200;0.19100
41;51;200;0.08900
42;46;1000;0.01400
43;44;200;0.07200
43;48;200;0.26200
43;53;200;0.03900
45;44;1000;0.02000
44;47;800;0.08400
44;54;200;0.08400
7044;44;1000;0.18181
45;46;1000;0.02100
45;60;800;0.04100
45;74;800;0.05400
46;81;800;0.04200
47;73;200;0.14500
47;113;200;0.11800
48;107;200;0.06200
49;51;800;0.09400
7049;49;1000;0.01240
51;52;200;0.10900
52;55;200;0.08000
53;54;200;0.07300
54;55;200;0.10300
55;57;200;0.16900
7055;55;1000;0.19607
57;58;200;0.08000
57;63;200;0.53700
7057;57;1000;0.05347
58;59;200;0.02600
59;61;800;0.01300
60;62;800;0.06500
62;61;1000;0.05900
7061;61;1000;0.02380
62;64;800;0.10500
62;144;800;0.00700
7062;62;1000;0.03214
63;64;1000;0.03800
63;526;800;0.17200
69;79;200;0.15700
201;69;1000;0.09800
69;211;200;0.23200
70;71;200;0.10000
70;528;200;0.12340
71;72;200;0.13100
71;73;200;0.09900
7071;71;1000;0.06896
72;77;200;0.08700
72;531;200;0.19300
73;74;1000;0.02440
73;76;200;0.05700
73;79;200;0.05200
74;88;200;0.02700
74;562;200;0.20130
76;77;200;0.04300
77;78;800;0.00600
77;80;200;0.07000
77;552;200;0.26760
77;609;200;0.21270
78;79;200;0.02200
78;84;1000;0.03600
79;211;200;0.37500
80;211;200;0.10700
81;88;1000;0.02000
81;194;800;0.03300
81;195;800;0.03300
85;86;800;0.06400
85;99;1000;0.04800
86;87;800;0.09300
86;102;1000;0.04800
86;323;200;0.04800
87;94;1000;0.04600
89;91;200;0.11900
90;92;200;0.17400
91;94;200;0.25300
91;97;800;0.07700
92;103;800;0.14400
92;105;800;0.09200
94;97;200;0.42700
97;100;200;0.05300
97;102;200;0.09200
97;103;200;0.12200
98;100;200;0.06400
98;102;200;0.12100
99;107;200;0.13500
99;108;200;0.00400
99;109;200;0.35400
99;110;200;0.17400
100;102;200;0.03800
102;104;200;0.06400
103;105;200;0.06200
104;108;200;0.13000
104;322;200;0.12400
105;107;200;0.08800
105;110;200;0.40000
108;324;200;0.20800
109;110;200;0.18400
109;113;200;0.27400
109;114;200;0.39300
110;112;200;0.40400
112;114;200;0.04200
114;207;1000;0.14900
121;115;1000;0.02800
115;122;200;0.01990
116;120;800;0.10490
116;124;800;0.01740
117;118;1000;0.00180
159;117;1000;0.01600
118;119;1500;0.02710
118;121;1000;0.29150
118;1201;1000;0.61630
119;120;1500;0.03390
119;121;1000;0.05820
1201;120;1000;0.36970
122;123;200;0.23440
122;125;200;0.36690
122;157;1000;0.01950
123;124;200;0.10760
123;125;200;0.14140
160;124;1000;0.03960
125;126;800;0.01970
126;127;800;0.04050
126;129;800;0.11060
126;132;800;0.16880
126;157;200;0.05000
126;158;200;0.05380
126;169;800;0.11570
127;128;800;0.05770
127;134;800;0.03360
127;168;800;0.05770
128;130;800;0.07730
128;133;200;0.01930
129;130;800;0.07520
129;133;800;0.01860
130;131;1000;0.01800
130;132;800;0.01640
130;150;1000;0.01400
130;151;800;0.01650
130;167;800;0.07930
130;168;800;0.07840
7130;130;2000;0.01930
132;170;1000;0.04020
133;137;1500;0.01170
133;168;200;0.01930
133;169;800;0.01860
133;171;1500;0.01010
134;135;200;0.02930
134;184;200;0.03810
135;136;800;0.06230
136;137;200;0.08900
136;152;800;0.03900
137;140;800;0.01140
163;137;1000;0.03840
137;181;800;0.00340
137;186;800;0.01510
137;188;800;0.00340
181;138;1000;0.02020
188;138;1000;0.02020
139;172;200;0.22480
182;139;1000;0.01310
7139;139;1500;0.01670
140;141;200;0.08360
140;142;200;0.11320
140;145;200;0.33690
140;146;200;0.30310
140;147;200;0.34920
140;182;800;0.00890
141;146;200;0.22670
141;174;1000;0.06030
142;143;800;0.05700
142;175;1000;0.04980
143;144;1000;0.08330
