Bus_id;Gen_id;Load_id;Bus_type
1;0;1;1
2;0;2;1
3;0;3;1
4;0;0;1
5;0;4;1
6;0;5;1
7;0;0;1
8;1;6;2
9;0;7;1
10;2;8;2
11;0;9;1
12;0;0;1
13;0;10;1
14;0;11;1
15;0;12;1
16;0;0;1
17;0;13;1
19;0;0;1
20;3;14;2
21;0;15;1
22;0;16;1
23;0;17;1
24;0;0;1
25;0;18;1
26;0;19;1
27;0;20;1
33;0;21;1
34;0;0;1
35;0;0;1
36;0;0;1
37;0;22;1
38;0;23;1
39;0;0;1
40;0;24;1
41;0;25;1
42;0;0;1
43;0;26;1
44;0;27;1
45;0;0;1
46;0;0;1
47;0;28;1
48;0;29;1
49;0;30;1
51;0;0;1
52;0;31;1
53;0;32;1
54;0;33;1
55;0;34;1
57;0;35;1
58;0;36;1
59;0;37;1
60;0;0;1
61;0;38;1
62;0;0;1
63;4;39;2
64;0;0;1
69;0;0;1
70;0;40;1
71;0;41;1
72;0;42;1
73;0;43;1
74;0;0;1
76;5;44;2
77;0;45;1
78;0;0;1
79;0;46;1
80;0;47;1
81;0;0;1
84;6;48;2
85;0;0;1
86;0;0;1
87;0;0;1
88;0;0;1
89;0;49;1
90;0;50;1
91;7;51;2
92;8;52;2
94;0;53;1
97;0;54;1
98;9;55;2
99;0;56;1
100;0;0;1
102;0;57;1
103;0;58;1
104;0;59;1
105;0;60;1
107;0;61;1
108;10;62;2
109;0;63;1
110;0;64;1
112;0;65;1
113;0;66;1
114;0;67;1
115;0;0;1
116;0;0;1
117;0;0;1
118;0;68;1
119;11;0;2
120;0;69;1
121;0;70;1
122;0;71;1
123;0;72;1
124;12;73;2
125;13;74;2
126;0;75;1
127;0;76;1
128;0;0;1
129;0;0;1
130;0;0;1
131;0;0;1
132;0;0;1
133;0;0;1
134;0;0;1
135;0;77;1
136;0;78;1
137;0;79;1
138;14;80;2
139;0;81;1
140;0;82;1
141;15;83;2
142;0;84;1
143;16;85;2
144;0;0;1
145;0;86;1
146;17;0;2
147;18;0;2
148;0;87;1
149;19;0;2
150;0;0;1
151;0;0;1
152;20;88;2
153;21;0;2
154;0;89;1
155;0;90;1
156;22;91;2
157;0;92;1
158;0;0;1
159;0;93;1
160;0;0;1
161;0;94;1
162;0;95;1
163;0;0;1
164;0;0;1
165;0;0;1
166;0;0;1
167;0;96;1
168;0;0;1
169;0;0;1
170;23;97;2
171;24;98;2
172;0;99;1
173;0;100;1
174;0;0;1
175;0;101;1
176;25;102;2
177;26;103;2
178;0;104;1
179;0;105;1
180;0;106;1
181;0;107;1
182;0;108;1
183;0;109;1
184;0;110;1
185;27;0;2
186;28;111;2
187;29;112;2
188;0;113;1
189;0;114;1
190;30;0;2
191;31;115;2
192;0;116;1
193;0;0;1
194;0;0;1
195;0;0;1
196;0;117;1
197;0;118;1
198;32;119;2
199;0;120;1
200;0;121;1
201;0;122;1
202;0;123;1
203;0;124;1
204;0;125;1
205;0;0;1
206;0;126;1
207;0;0;1
208;0;127;1
209;0;128;1
210;0;0;1
211;0;129;1
212;0;0;1
213;33;0;2
214;0;130;1
215;0;131;1
216;0;132;1
217;0;133;1
218;0;134;1
219;0;0;1
220;34;135;2
221;35;136;2
222;36;137;2
223;0;138;1
224;0;139;1
225;0;140;1
226;0;0;1
227;37;141;2
228;0;142;1
229;0;143;1
230;38;0;2
231;0;144;1
232;0;145;1
233;39;146;2
234;0;147;1
235;0;148;1
236;40;0;2
237;0;0;1
238;41;149;2
239;42;0;2
240;0;0;1
241;43;0;2
242;44;0;2
243;45;150;2
244;0;0;1
245;0;151;1
246;0;152;1
247;0;153;1
248;0;154;1
249;0;155;1
250;0;0;1
281;0;0;1
319;0;156;1
320;0;157;1
322;0;158;1
323;0;0;1
324;0;159;1
526;0;160;1
528;0;161;1
531;0;162;1
552;0;0;1
562;0;163;1
609;0;164;1
664;0;0;1
1190;0;165;1
1200;0;0;1
1201;0;0;1
2040;0;0;1
7001;46;0;2
7002;47;0;2
7003;48;0;2
7011;49;0;2
7012;50;0;2
7017;51;0;2
7023;52;0;2
7024;53;0;2
7039;54;0;2
7044;55;0;2
7049;56;0;3
7055;57;0;2
7057;58;0;2
7061;59;0;2
7062;60;0;2
7071;61;0;2
7130;62;0;2
7139;63;0;2
7166;64;0;2
9001;0;0;1
9002;65;166;2
9003;0;167;1
9004;0;168;1
9005;0;0;1
9006;0;0;1
9007;0;0;1
9012;0;0;1
9021;0;169;1
9022;0;170;1
9023;0;0;1
9024;0;171;1
9025;0;172;1
9026;0;173;1
9031;0;174;1
9032;0;175;1
9033;0;176;1
9034;0;177;1
9035;0;178;1
9036;0;179;1
9037;0;180;1
9038;0;181;1
9041;0;182;1
9042;0;183;1
9043;0;184;1
9044;0;0;1
9051;66;185;2
9052;0;186;1
9053;67;187;2
9054;68;0;2
9055;69;0;2
9071;0;188;1
9072;0;189;1
9121;0;190;1
9533;0;191;1
