Load_id;Load_bus;Active_load
1;1;90
2;2;56
3;3;20
4;5;353
5;6;120
6;8;63
7;9;96
8;10;153
9;11;83
10;13;58
11;14;160
12;15;126.7
13;17;561
14;20;605
15;21;77
16;22;81
17;23;21
18;25;45
19;26;28
20;27;69
21;33;55
22;37;85
23;38;155
24;40;46
25;41;86
26;43;39
27;44;195
28;47;58
29;48;41
30;49;92
31;52;61
32;53;69
33;54;10
34;55;22
35;57;98
36;58;14
37;59;218
38;61;227
39;63;70
40;70;56
41;71;116
42;72;57
43;73;224
44;76;208
45;77;74
46;79;48
47;80;28
48;84;37
49;89;44.2
50;90;66
51;91;17.4
52;92;15.8
53;94;60.3
54;97;39.9
55;98;66.7
56;99;83.5
57;102;77.8
58;103;32
59;104;8.6
60;105;49.6
61;107;4.6
62;108;112.1
63;109;30.7
64;110;63
65;112;19.6
66;113;26.2
67;114;18.2
68;118;14.1
69;120;777
70;121;535
71;122;229.1
72;123;78
73;124;276.4
74;125;514.8
75;126;57.9
76;127;380.8
77;135;169.2
78;136;55.2
79;137;273.6
80;138;1019.2
81;139;595
82;140;387.7
83;141;145
84;142;56.5
85;143;89.5
86;145;24
87;148;63
88;152;17
89;154;70
90;155;200
91;156;75
92;157;123.5
93;159;33
94;161;35
95;162;85
96;167;299.9
97;170;481.8
98;171;763.6
99;172;26.5
100;173;163.5
101;175;176
102;176;5
103;177;28
104;178;427.4
105;179;74
106;180;69.5
107;181;73.4
108;182;240.7
109;183;40
110;184;136.8
111;186;59.8
112;187;59.8
113;188;182.6
114;189;7
115;191;489
116;192;800
117;196;10
118;197;43
119;198;64
120;199;35
121;200;27
122;201;41
123;202;38
124;203;42
125;204;72
126;206;12
127;208;7
128;209;38
129;211;96
130;214;22
131;215;47
132;216;176
133;217;100
134;218;131
135;220;285
136;221;171
137;222;328
138;223;428
139;224;173
140;225;410
141;227;538
142;228;223
143;229;96
144;231;159
145;232;448
146;233;404
147;234;572
148;235;269
149;238;255
150;243;8
151;245;61
152;246;77
153;247;61
154;248;29
155;249;29
156;319;115.8
157;320;2.4
158;322;2.4
159;324;24.7
160;526;145.3
161;528;28.1
162;531;14
163;562;50.5
164;609;29.6
165;1190;100.31
166;9002;4.2
167;9003;2.71
168;9004;0.86
169;9021;4.75
170;9022;1.53
171;9024;1.35
172;9025;0.45
173;9026;0.45
174;9031;1.84
175;9032;1.39
176;9033;1.89
177;9034;1.55
178;9035;1.66
179;9036;3.03
180;9037;1.86
181;9038;2.58
182;9041;1.01
183;9042;0.81
184;9043;1.6
185;9051;35.81
186;9052;30
187;9053;26.48
188;9071;1.02
189;9072;1.02
190;9121;3.8
191;9533;1.19
