Gen_id;Energy_Cost;Max_gen;Min_gen;Ramp_Limit;Up_reserve_cost;Dn_reserve_cost;Redispatch_cost;Gen_bus
1;0;0;0;0;0;0;0;8
2;0;0;0;0;0;0;0;10
3;0;0;0;0;0;0;0;20
4;0;0;0;0;0;0;0;63
5;0;0;0;0;0;0;0;76
6;28.21401244;1448;0;1448;8.464203732;8.464203732;2.821401244;84
7;23.48373092;185;0;185;7.045119276;7.045119276;2.348373092;91
8;23.49691982;360;0;360;7.049075946;7.049075946;2.349691982;92
9;39.83533513;93;0;93;11.95060054;11.95060054;3.983533513;98
10;39.46961717;197;0;197;11.84088515;11.84088515;3.946961717;108
11;6.346920918;2041;0;2041;1.904076275;1.904076275;0.634692092;119
12;42.44287843;321;0;321;12.73286353;12.73286353;4.244287843;124
13;0;0;0;0;0;0;0;125
14;0;0;0;0;0;0;0;138
15;35.46946011;297;0;297;10.64083803;10.64083803;3.546946011;141
16;21.56397441;800;0;800;6.469192323;6.469192323;2.156397441;143
17;32.48424413;91;0;91;9.745273239;9.745273239;3.248424413;146
18;42.51098353;320;0;320;12.75329506;12.75329506;4.251098353;147
19;30.67839691;277;0;277;9.203519073;9.203519073;3.067839691;149
20;21.71796248;606;0;606;6.515388744;6.515388744;2.171796248;152
21;37.38609445;242;0;242;11.21582834;11.21582834;3.738609445;153
22;0;0;0;0;0;0;0;156
23;49.05773065;330;0;330;14.7173192;14.7173192;4.905773065;170
24;0;0;0;0;0;0;0;171
25;18.07735587;278;0;278;5.423206761;5.423206761;1.807735587;176
26;38.09233245;125;0;125;11.42769974;11.42769974;3.809233245;177
27;30.39902801;250;0;250;9.119708403;9.119708403;3.039902801;185
28;29.16055256;2465;0;2465;8.748165768;8.748165768;2.916055256;186
29;32.18106615;1624;0;1624;9.654319845;9.654319845;3.218106615;187
30;34.58930918;515;0;515;10.37679275;10.37679275;3.458930918;190
31;11.88947784;2140;0;2140;3.566843352;3.566843352;1.188947784;191
32;42.75239353;430;0;430;12.82571806;12.82571806;4.275239353;198
33;34.5796897;288;0;288;10.37390691;10.37390691;3.45796897;213
34;41.01544716;460;0;460;12.30463415;12.30463415;4.101544716;220
35;61.11992882;554;0;554;18.33597865;18.33597865;6.111992882;221
36;49.03813347;523;0;523;14.71144004;14.71144004;4.903813347;222
37;40.19276074;436;0;436;12.05782822;12.05782822;4.019276074;227
38;54.01207321;458;0;458;16.20362196;16.20362196;5.401207321;230
39;36.25246297;341;0;341;10.87573889;10.87573889;3.625246297;233
40;37.1616406;881;0;881;11.14849218;11.14849218;3.71616406;236
41;37.38927831;267;0;267;11.21678349;11.21678349;3.738927831;238
42;34.09578622;621;0;621;10.22873587;10.22873587;3.409578622;239
43;26.56284231;1127;0;1127;7.968852693;7.968852693;2.656284231;241
44;114.9279806;212;0;212;34.47839418;34.47839418;11.49279806;242
45;16.51369915;342;0;342;4.954109745;4.954109745;1.651369915;243
46;20.98334052;568;0;568;6.295002156;6.295002156;2.098334052;7001
47;25.68198125;670;0;670;7.704594375;7.704594375;2.568198125;7002
48;6.903335864;1401;0;1401;2.071000759;2.071000759;0.690333586;7003
49;21.51629956;668;0;668;6.454889868;6.454889868;2.151629956;7011
50;17.57103012;626;0;626;5.271309036;5.271309036;1.757103012;7012
51;20.6061957;490;0;490;6.18185871;6.18185871;2.06061957;7017
52;41.82751212;220;0;220;12.54825364;12.54825364;4.182751212;7023
53;34.12593758;543;0;543;10.23778127;10.23778127;3.412593758;7024
54;124.1460778;580;0;580;37.24382334;37.24382334;12.41460778;7039
55;40.179247;132;0;132;12.0537741;12.0537741;4.0179247;7044
56;7.321408191;718;0;718;2.196422457;2.196422457;0.732140819;7049
57;33.43519664;158;0;158;10.03055899;10.03055899;3.343519664;7055
58;31.03535185;334;0;334;9.310605555;9.310605555;3.103535185;7057
59;19.44767306;1757;0;1757;5.834301918;5.834301918;1.944767306;7061
60;33.48206084;568;0;568;10.04461825;10.04461825;3.348206084;7062
61;31.69751923;203;0;203;9.509255769;9.509255769;3.169751923;7071
62;29.67836344;1726;0;1726;8.903509032;8.903509032;2.967836344;7130
63;20.16065321;2025;0;2025;6.048195963;6.048195963;2.016065321;7139
64;36.38793115;624;0;624;10.91637935;10.91637935;3.638793115;7166
65;0;0;0;0;0;0;0;9002
66;0;0;0;0;0;0;0;9051
67;0;0;0;0;0;0;0;9053
68;24.9906523;84;0;84;7.49719569;7.49719569;2.49906523;9054
69;105.1317029;37;0;37;31.53951087;31.53951087;10.51317029;9055
