Bus_id;Load_id;Initial_demand
1;1;90
2;2;56
3;3;20
4;0;0
5;4;353
6;5;120
7;0;0
8;6;63
9;7;96
10;8;153
11;9;83
12;0;0
13;10;58
14;11;160
15;12;126.7
16;0;0
17;13;561
19;0;0
20;14;605
21;15;77
22;16;81
23;17;21
24;0;0
25;18;45
26;19;28
27;20;69
33;21;55
34;0;0
35;0;0
36;0;0
37;22;85
38;23;155
39;0;0
40;24;46
41;25;86
42;0;0
43;26;39
44;27;195
45;0;0
46;0;0
47;28;58
48;29;41
49;30;92
51;0;0
52;31;61
53;32;69
54;33;10
55;34;22
57;35;98
58;36;14
59;37;218
60;0;0
61;38;227
62;0;0
63;39;70
64;0;0
69;0;0
70;40;56
71;41;116
72;42;57
73;43;224
74;0;0
76;44;208
77;45;74
78;0;0
79;46;48
80;47;28
81;0;0
84;48;37
85;0;0
86;0;0
87;0;0
88;0;0
89;49;44.2
90;50;66
91;51;17.4
92;52;15.8
94;53;60.3
97;54;39.9
98;55;66.7
99;56;83.5
100;0;0
102;57;77.8
103;58;32
104;59;8.6
105;60;49.6
107;61;4.6
108;62;112.1
109;63;30.7
110;64;63
112;65;19.6
113;66;26.2
114;67;18.2
115;0;0
116;0;0
117;0;0
118;68;14.1
119;0;0
120;69;777
121;70;535
122;71;229.1
123;72;78
124;73;276.4
125;74;514.8
126;75;57.9
127;76;380.8
128;0;0
129;0;0
130;0;0
131;0;0
132;0;0
133;0;0
134;0;0
135;77;169.2
136;78;55.2
137;79;273.6
138;80;1019.2
139;81;595
140;82;387.7
141;83;145
142;84;56.5
143;85;89.5
144;0;0
145;86;24
146;0;0
147;0;0
148;87;63
149;0;0
150;0;0
151;0;0
152;88;17
153;0;0
154;89;70
155;90;200
156;91;75
157;92;123.5
158;0;0
159;93;33
160;0;0
161;94;35
162;95;85
163;0;0
164;0;0
165;0;0
166;0;0
167;96;299.9
168;0;0
169;0;0
170;97;481.8
171;98;763.6
172;99;26.5
173;100;163.5
174;0;0
175;101;176
176;102;5
177;103;28
178;104;427.4
179;105;74
180;106;69.5
181;107;73.4
182;108;240.7
183;109;40
184;110;136.8
185;0;0
186;111;59.8
187;112;59.8
188;113;182.6
189;114;7
190;0;0
191;115;489
192;116;800
193;0;0
194;0;0
195;0;0
196;117;10
197;118;43
198;119;64
199;120;35
200;121;27
201;122;41
202;123;38
203;124;42
204;125;72
205;0;0
206;126;12
207;0;0
208;127;7
209;128;38
210;0;0
211;129;96
212;0;0
213;0;0
214;130;22
215;131;47
216;132;176
217;133;100
218;134;131
219;0;0
220;135;285
221;136;171
222;137;328
223;138;428
224;139;173
225;140;410
226;0;0
227;141;538
228;142;223
229;143;96
230;0;0
231;144;159
232;145;448
233;146;404
234;147;572
235;148;269
236;0;0
237;0;0
238;149;255
239;0;0
240;0;0
241;0;0
242;0;0
243;150;8
244;0;0
245;151;61
246;152;77
247;153;61
248;154;29
249;155;29
250;0;0
281;0;0
319;156;115.8
320;157;2.4
322;158;2.4
323;0;0
324;159;24.7
526;160;145.3
528;161;28.1
531;162;14
552;0;0
562;163;50.5
609;164;29.6
664;0;0
1190;165;100.31
1200;0;0
1201;0;0
2040;0;0
7001;0;0
7002;0;0
7003;0;0
7011;0;0
7012;0;0
7017;0;0
7023;0;0
7024;0;0
7039;0;0
7044;0;0
7049;0;0
7055;0;0
7057;0;0
7061;0;0
7062;0;0
7071;0;0
7130;0;0
7139;0;0
7166;0;0
9001;0;0
9002;166;4.2
9003;167;2.71
9004;168;0.86
9005;0;0
9006;0;0
9007;0;0
9012;0;0
9021;169;4.75
9022;170;1.53
9023;0;0
9024;171;1.35
9025;172;0.45
9026;173;0.45
9031;174;1.84
9032;175;1.39
9033;176;1.89
9034;177;1.55
9035;178;1.66
9036;179;3.03
9037;180;1.86
9038;181;2.58
9041;182;1.01
9042;183;0.81
9043;184;1.6
9044;0;0
9051;185;35.81
9052;186;30
9053;187;26.48
9054;0;0
9055;0;0
9071;188;1.02
9072;189;1.02
9121;190;3.8
9533;191;1.19
