x1,x2,x3,x4,x5,x6,x7
,In Sample,In Sample,In Sample,Out of Sample,Out of Sample,Out of Sample
,PI,LDR,PWL,PI,LDR,PWL
Total,72137.186,172268.291,158945.851,72618.031,94311.825,90735.68
Generation,67037.224,93825.746,91236.824,68380.677,71074.327,70127.62
Reserve Up,4460.609,7183.164,7465.502,3805.654,7115.974,7399.561
Reserve Down,639.353,11101.952,9959.629,431.7,11095.113,9962.139
Curtailment,0.0,50113.779,45121.415,0.0,5026.411,3246.36
Real Time Curtailment,0.0,3430.734,4201.461,0.0,0.0,0.0
Load Shedding,0.0,6612.916,961.02,0.0,0.0,0.0
Real Time Load Shedding,0.0,0.0,0.0,0.0,0.0,0.0
