x1,x2,x3,x4,x5,x6,x7
,In Sample,In Sample,In Sample,Out of Sample,Out of Sample,Out of Sample
,PI,LDR,PWL,PI,LDR,PWL
Total Generation,10431.06,14444.925,14064.396,10678.686,10678.686,10678.686
Redispach,1928.669,-1810.089,-1366.893,1688.846,1688.846,1688.846
Reserve Up,2264.45,3503.98,3677.898,1915.57,3760.499,3853.428
Reserve Down,335.781,5818.804,5235.072,226.724,5671.296,5179.657
Curtailment,0.0,4036.781,3636.223,0.0,0.0,0.0
Real Time Curtailment,0.0,275.107,337.774,0.0,0.0,0.0
Load Shedding,0.0,22.916,2.887,0.0,0.0,0.0
Real Time Load Shedding,0.0,0.0,0.0,0.0,0.0,0.0
Model Creation Time,4.701,69.396,389.181,5.716,36.284,301.613
Optimization Time,23.854,2056.45,22557.78,23.65,37.125,89.227
